	ion	x0	integer_mass	KMD_CH2	e_KMD_CH2	KMD_CH2_matches
30	IC6H8O7-	318.931452596	319	0.42466911	0.00637151	IC7H10O7-, IC7H10O7-
31	IC6H8O6-	302.936537976	303	0.40172367	0.00605197	IC7H10O6-
32	IC6H7NO8-	347.921616189	348	0.4668762	0.00695066	IC7H9NO8-, IC7H9O8-
33	IC6H7O6-	301.92871294400004	302	0.40842335	0.00603183	IC7H9O6-
34	C6H7O3-	126.031694084	126	0.10903403	0.00251782	C6H7O3-
35	C6H8O3-	127.03951911600001	127	0.10233435	0.00253795	C6H8O3-
36	C6H6O2-	109.028954432	109	0.09278827	0.00217814	
37	C6H7NO4-	156.02968270899999	156	0.14454143	0.00311711	
38	C7H9O7-	204.027002628	204	0.20081575	0.00407598	C6H7O7-, C7H9O7-, C6H7O7-
39	C7H10O7-	205.03482766	205	0.19411606	0.00409612	C7H10O7-, C6H8O7-
40	C6H6O6-	173.00861291200005	173	0.18457005	0.00345631	
41	C7H10O6-	189.03991304	189	0.17117062	0.00377658	C6H8O6-
42	C7H9NO8-	234.024991253	234	0.23632314	0.00467527	C6H7NO8-
43	C7H9O6-	188.032088008	188	0.1778703	0.00375644	C6H7O6-
44	C6H7O4-	142.02660870399998	142	0.13197948	0.00283736	C6H7O4-
45	C6H8O4-	143.034433736	143	0.12527979	0.00285749	C6H8O4-
46	C6H6O3-	125.02386905200001	125	0.11573372	0.00249769	
47	C6H8O3-	127.03951911600001	127	0.10233435	0.00253795	C6H8O3-
48	C6H7NO5-	172.02459732900002	172	0.16748687	0.00343665	
49	C6H7O3-	126.031694084	126	0.10903403	0.00251782	C6H7O3-
50	C6H7NO7-	204.01442656900002	204	0.21337776	0.00407573	
51	C7H9O8-	220.021917248	220	0.22376119	0.00439552	
52	C7H10O8-	221.02974228	221	0.2170615	0.00441566	
53	C6H7O7-	190.01135256400002	190	0.20081581	0.00379598	C7H9O7-, C7H9O7-, C6H7O7-
54	C7H10O7-	205.03482766	205	0.19411606	0.00409612	C7H10O7-, C6H8O7-
55	C7H9NO9-	250.01990587300003	250	0.25926859	0.00499481	
56	C7H9O7-	204.027002628	204	0.20081575	0.00407598	C6H7O7-, C7H9O7-, C6H7O7-
57	C6H7O5-	158.021523324	158	0.15492492	0.0031569	
58	C6H8O5-	159.029348356	159	0.14822524	0.00317704	
59	C6H6O4-	141.018783672	141	0.13867916	0.00281723	
60	C6H8O4-	143.034433736	143	0.12527979	0.00285749	C6H8O4-
61	C6H7NO6-	188.01951194900002	188	0.19043232	0.00375619	
62	C6H7O4-	142.02660870399998	142	0.13197948	0.00283736	C6H7O4-
63	C6H7O7-	190.01135256400002	190	0.20081581	0.00379598	C7H9O7-, C7H9O7-, C6H7O7-
64	C6H8O7-	191.019177596	191	0.19411612	0.00381612	C7H10O7-, C7H10O7-
65	C6H8O6-	175.02426297600002	175	0.17117068	0.00349658	C7H10O6-
66	C6H7NO8-	220.00934118900003	220	0.23632321	0.00439527	C7H9NO8-
67	C6H7O6-	174.01643794400002	174	0.17787037	0.00347644	C7H9O6-
